name,category,primary_country,country_tags,is_international,langlinks_count,justification,validation,person_id
Ada Lovelace,culture,GB,"GB, international",YES,112,112 Wikipedia languages | Known nationality: GB | International (20+ langs),,69136cc19a7ab512fd98e83b
Adele,culture,GB,"GB, international",YES,115,115 Wikipedia languages | Known nationality: GB | International (20+ langs),,69be73afd197e3104fe845ee
Angela Merkel,politics,DE,"DE, international",YES,172,172 Wikipedia languages | Known nationality: DE | International (20+ langs),,69136cb59a7ab512fd98e811
Angelina Jolie,culture,US,"US, international",YES,142,142 Wikipedia languages | Known nationality: US | International (20+ langs),,69bd7ff56b16a3aa0301ebbc
Ariana Grande,culture,US,"US, international",YES,123,123 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845e4
BTS,culture,KR,"KR, international",YES,115,115 Wikipedia languages | Known nationality: KR | International (20+ langs),,69be73afd197e3104fe845e8
Bad Bunny,culture,PR,"PR, international",YES,59,59 Wikipedia languages | Known nationality: PR | International (20+ langs),,69be73afd197e3104fe845e7
Barack Obama,politics,US,"US, international",YES,254,254 Wikipedia languages | Known nationality: US | International (20+ langs),,69136cb59a7ab512fd98e80b
Benjamin Netanyahu,politics,IL,"IL, international",YES,131,131 Wikipedia languages | Known nationality: IL | International (20+ langs),,69be73afd197e3104fe8460f
Bernard Arnault,business,FR,"FR, international",YES,62,62 Wikipedia languages | Known nationality: FR | International (20+ langs),,69be73afd197e3104fe845dd
Beyoncé,culture,US,"US, international",YES,154,154 Wikipedia languages | Known nationality: US | International (20+ langs),,69136cb59a7ab512fd98e807
Bill Gates,business,US,"US, international",YES,178,178 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845d6
Billie Eilish,culture,US,"US, international",YES,102,102 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845e6
Bob Iger,business,US,"US, international",YES,35,35 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845db
Brad Pitt,other,US,"US, international",YES,126,126 Wikipedia languages | Known nationality: US | International (20+ langs),,69bd7fe56b16a3aa0301ebba
Bruno Mars,culture,US,"US, international",YES,97,97 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845ef
Chris Hemsworth,culture,AU,"AU, international",YES,85,85 Wikipedia languages | Known nationality: AU | International (20+ langs),,69be73afd197e3104fe845f5
Conor McGregor,sport,IE,"IE, international",YES,65,65 Wikipedia languages | Known nationality: IE | International (20+ langs),,69be73afd197e3104fe84609
Cristiano Ronaldo,sport,PT,"PT, international",YES,179,179 Wikipedia languages | Known nationality: PT | International (20+ langs),,69136cb59a7ab512fd98e809
Denzel Washington,culture,US,"US, international",YES,99,99 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845f3
Donald Trump,politics,US,"US, international",YES,258,258 Wikipedia languages | Known nationality: US | International (20+ langs),,69136cb59a7ab512fd98e80c
