primary_country,name,category,tags,is_international,langlinks,justification,status,person_id,validation
AR,Alberto Fernández,politics,AR,NO,72,72 Wikipedia langs | Primarily AR,new,,
AR,Anya Taylor-Joy,culture,AR,NO,54,54 Wikipedia langs | Primarily AR,new,,
AR,Bizarrap,culture,AR,NO,14,14 Wikipedia langs | Primarily AR,new,,
AR,Coscu,culture,AR,NO,1,1 Wikipedia langs | Primarily AR,new,,
AR,Cristina Fernández de Kirchner,politics,AR,NO,101,101 Wikipedia langs | Primarily AR,new,,
AR,Diego Maradona,sport,"AR, international",YES,145,145 Wikipedia langs | Global recognition confirmed,new,,
AR,Duki,culture,AR,NO,35,35 Wikipedia langs | Primarily AR,new,,
AR,Emiliano Martínez,sport,AR,NO,58,58 Wikipedia langs | Primarily AR,new,,
AR,Guillermo Francella,culture,AR,NO,13,13 Wikipedia langs | Primarily AR,new,,
AR,Javier Milei,politics,AR,NO,75,75 Wikipedia langs | Primarily AR,existing,69be73afd197e3104fe84614,
AR,Julián Álvarez,sport,AR,NO,0,0 Wikipedia langs | Primarily AR,new,,
AR,Kun Agüero,sport,AR,NO,82,82 Wikipedia langs | Primarily AR,new,,
AR,Lautaro Martínez,sport,AR,NO,54,54 Wikipedia langs | Primarily AR,new,,
AR,Lionel Messi,sport,"AR, international",YES,188,188 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e808,
AR,Marcos Acuña,sport,AR,NO,40,40 Wikipedia langs | Primarily AR,new,,
AR,María Becerra,culture,AR,NO,16,16 Wikipedia langs | Primarily AR,new,,
AR,Nicki Nicole,culture,AR,NO,17,17 Wikipedia langs | Primarily AR,new,,
AR,Paulo Londra,culture,AR,NO,25,25 Wikipedia langs | Primarily AR,new,,
AR,Pope Francis,culture,"AR, international",YES,182,182 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e819,
AR,Ricardo Darín,culture,AR,NO,29,29 Wikipedia langs | Primarily AR,new,,
AR,Santiago Maratea,culture,AR,NO,0,Not found on Wikipedia EN | Primarily AR,new,,
AR,Tini Stoessel,culture,AR,NO,42,42 Wikipedia langs | Primarily AR,new,,
AR,Wos,culture,AR,NO,0,0 Wikipedia langs | Primarily AR,new,,
AR,Ángel Di María,sport,AR,NO,80,80 Wikipedia langs | Primarily AR,new,,
AU,Chris Hemsworth,culture,"AU, international",YES,85,85 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845f5,
BB,Rihanna,culture,"BB, international",YES,138,138 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845e2,
BE,Adil El Arbi,culture,BE,NO,7,7 Wikipedia langs | Primarily BE,new,,
BE,Alexander De Croo,politics,BE,NO,55,55 Wikipedia langs | Primarily BE,new,,
BE,Angèle,culture,BE,NO,37,37 Wikipedia langs | Primarily BE,new,,
BE,Average Rob,culture,BE,NO,0,Not found on Wikipedia EN | Primarily BE,new,,
BE,Axel Witsel,sport,BE,NO,56,56 Wikipedia langs | Primarily BE,new,,
BE,Bart De Wever,politics,BE,NO,49,49 Wikipedia langs | Primarily BE,new,,
BE,Benoit Poelvoorde,culture,BE,NO,28,28 Wikipedia langs | Primarily BE,new,,
BE,Cécile de France,culture,BE,NO,33,33 Wikipedia langs | Primarily BE,new,,
BE,Damso,culture,BE,NO,8,8 Wikipedia langs | Primarily BE,new,,
BE,Dries Mertens,sport,BE,NO,52,52 Wikipedia langs | Primarily BE,new,,
BE,Eden Hazard,sport,BE,NO,87,87 Wikipedia langs | Primarily BE,new,,
BE,Jacques Brel,culture,BE,NO,68,68 Wikipedia langs | Primarily BE,new,,
BE,Jean-Claude Van Damme,culture,BE,NO,81,81 Wikipedia langs | Primarily BE,new,,
BE,Kevin De Bruyne,sport,BE,NO,84,84 Wikipedia langs | Primarily BE,new,,
BE,King Philippe,politics,BE,NO,84,84 Wikipedia langs | Primarily BE,new,,
BE,Lous and the Yakuza,culture,BE,NO,8,8 Wikipedia langs | Primarily BE,new,,
BE,Matthias Schoenaerts,culture,BE,NO,29,29 Wikipedia langs | Primarily BE,new,,
BE,Nafi Thiam,sport,BE,NO,40,40 Wikipedia langs | Primarily BE,new,,
BE,Plastic Bertrand,culture,BE,NO,21,21 Wikipedia langs | Primarily BE,new,,
BE,Remco Evenepoel,sport,BE,NO,39,39 Wikipedia langs | Primarily BE,new,,
BE,Romelu Lukaku,sport,BE,NO,80,80 Wikipedia langs | Primarily BE,new,,
BE,Thibaut Courtois,sport,BE,NO,81,81 Wikipedia langs | Primarily BE,new,,
BE,Wout van Aert,sport,BE,NO,35,35 Wikipedia langs | Primarily BE,new,,
BE,Yannick Carrasco,sport,BE,NO,52,52 Wikipedia langs | Primarily BE,new,,
BR,Alok,culture,BR,NO,0,Not found on Wikipedia EN | Primarily BR,new,,
BR,Anitta,culture,BR,NO,4,4 Wikipedia langs | Primarily BR,new,,
BR,Bruna Marquezine,culture,BR,NO,22,22 Wikipedia langs | Primarily BR,new,,
BR,Caetano Veloso,culture,BR,NO,40,40 Wikipedia langs | Primarily BR,new,,
BR,Casimiro,culture,BR,NO,0,Not found on Wikipedia EN | Primarily BR,new,,
BR,Endrick,sport,BR,NO,5,5 Wikipedia langs | Primarily BR,new,,
BR,Felipe Neto,culture,BR,NO,8,8 Wikipedia langs | Primarily BR,new,,
BR,Flávio Dino,politics,BR,NO,6,6 Wikipedia langs | Primarily BR,new,,
BR,Gabriel Medina,sport,BR,NO,13,13 Wikipedia langs | Primarily BR,new,,
BR,Gisele Bündchen,culture,BR,NO,76,76 Wikipedia langs | Primarily BR,new,,
BR,Ivete Sangalo,culture,BR,NO,33,33 Wikipedia langs | Primarily BR,new,,
BR,Jair Bolsonaro,politics,"BR, international",YES,126,126 Wikipedia langs | Global recognition confirmed,new,,
BR,Ludmilla,culture,BR,NO,12,12 Wikipedia langs | Primarily BR,new,,
BR,Lula da Silva,politics,"BR, international",YES,127,127 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe84613,
BR,Marina Silva,politics,BR,NO,43,43 Wikipedia langs | Primarily BR,new,,
BR,Marta,sport,BR,NO,58,58 Wikipedia langs | Primarily BR,new,,
BR,Neymar Jr.,sport,"BR, international",YES,139,139 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845fe,
BR,Rebeca Andrade,sport,BR,NO,34,34 Wikipedia langs | Primarily BR,new,,
BR,Richarlison,sport,BR,NO,57,57 Wikipedia langs | Primarily BR,new,,
BR,Roberto Carlos,culture,BR,NO,30,30 Wikipedia langs | Primarily BR,new,,
BR,Rodrigo Hilbert,culture,BR,NO,6,6 Wikipedia langs | Primarily BR,new,,
BR,Ronaldinho,sport,BR,NO,98,98 Wikipedia langs | Primarily BR,new,,
BR,Vinícius Júnior,sport,BR,NO,71,71 Wikipedia langs | Primarily BR,new,,
BR,Wagner Moura,culture,BR,NO,31,31 Wikipedia langs | Primarily BR,new,,
BR,Whindersson Nunes,culture,BR,NO,3,3 Wikipedia langs | Primarily BR,new,,
